year,week,gross,top_release,releases,long_weekend,dates,start_date
1991,31,107540364,Hot Shots!,21,false,Aug 2-8,1991-08-02
1991,32,93972890,Hot Shots!,23,false,Aug 9-15,1991-08-09
1991,33,77392558,Hot Shots!,23,false,Aug 16-22,1991-08-16
1991,34,83652694,Point Break,27,false,Aug 23-29,1991-08-23
1991,35,63707093,Dead Again,23,false,Aug 30-Sep 5,1991-08-30
1991,36,52940133,Dead Again,24,false,Sep 6-12,1991-09-06
1991,37,49449594,Freddy's Dead: The Final Nightmare,17,false,Sep 13-19,1991-09-13
1991,38,46085878,Freddy's Dead: The Final Nightmare,22,false,Sep 20-26,1991-09-20
1991,39,60511647,The Fisher King,23,false,Sep 27-Oct 3,1991-09-27
1991,40,59026742,The Fisher King,27,false,Oct 4-10,1991-10-04
1991,41,59642432,The Fisher King,28,false,Oct 11-17,1991-10-11
1991,42,54694070,Other People's Money,22,false,Oct 18-24,1991-10-18
1991,43,51181109,House Party 2,21,false,Oct 25-31,1991-10-25
1991,44,70650676,The People Under the Stairs,22,false,Nov 1-7,1991-11-01
1991,45,51840878,Curly Sue,18,false,Nov 8-14,1991-11-08
1991,46,56990709,Cape Fear,23,false,Nov 15-21,1991-11-15
1991,47,104270061,The Addams Family,25,false,Nov 22-28,1991-11-22
1991,48,86672451,The Addams Family,20,false,Nov 29-Dec 5,1991-11-29
1991,49,71429224,Star Trek VI: The Undiscovered Country,22,false,Dec 6-12,1991-12-06
1991,50,70961979,Hook,19,false,Dec 13-19,1991-12-13
1991,51,116223230,Hook,19,false,Dec 20-26,1991-12-20
1991,52,177353131,Hook,23,false,"Dec 27-Jan 2, 1992",1991-12-27
1992,1,96538165,Hook,19,false,Jan 3-9,1992-01-03
1992,2,87991764,The Hand That Rocks the Cradle,23,false,Jan 10-16,1992-01-10
1992,3,95645942,The Hand That Rocks the Cradle,21,false,Jan 17-23,1992-01-17
1992,4,79391330,The Hand That Rocks the Cradle,19,false,Jan 24-30,1992-01-24
1992,5,71501782,The Hand That Rocks the Cradle,17,false,Jan 31-Feb 6,1992-01-31
1992,6,64942701,Medicine Man,18,false,Feb 7-13,1992-02-07
1992,7,93877164,Wayne's World,22,false,Feb 14-20,1992-02-14
1992,8,77606181,Wayne's World,25,false,Feb 21-27,1992-02-21
1992,9,66019781,Wayne's World,27,false,Feb 28-Mar 5,1992-02-28
1992,10,78582875,Wayne's World,25,false,Mar 6-12,1992-03-06
1992,11,71787513,Wayne's World,26,false,Mar 13-19,1992-03-13
1992,12,91848984,Basic Instinct,30,false,Mar 20-26,1992-03-20
1992,13,93037547,White Men Can't Jump,30,false,Mar 27-Apr 2,1992-03-27
1992,14,100286819,Basic Instinct,27,false,Apr 3-9,1992-04-03
1992,15,84783864,Sleepwalkers,23,false,Apr 10-16,1992-04-10
1992,16,81665492,Basic Instinct,23,false,Apr 17-23,1992-04-17
1992,17,63138106,Basic Instinct,26,false,Apr 24-30,1992-04-24
1992,18,43088840,Basic Instinct,27,false,May 1-7,1992-05-01
1992,19,39191168,Basic Instinct,27,false,May 8-14,1992-05-08
1992,20,79385760,Lethal Weapon 3,26,false,May 15-21,1992-05-15
1992,21,114770296,Lethal Weapon 3,20,false,May 22-28,1992-05-22
1992,22,81838246,Lethal Weapon 3,18,false,May 29-Jun 4,1992-05-29
1992,23,102419265,Patriot Games,15,false,Jun 5-11,1992-06-05
1992,24,84367221,Patriot Games,14,false,Jun 12-18,1992-06-12
1992,25,132015040,Batman Returns,16,false,Jun 19-25,1992-06-19
1992,26,125165694,Batman Returns,22,false,Jun 26-Jul 2,1992-06-26
1992,27,125861734,A League of Their Own,20,false,Jul 3-9,1992-07-03
1992,28,120828051,A League of Their Own,17,false,Jul 10-16,1992-07-10
1992,29,112363020,"Honey, I Blew Up the Kid",16,false,Jul 17-23,1992-07-17
1992,30,87334518,Mo' Money,16,false,Jul 24-30,1992-07-24
1992,31,84471139,Death Becomes Her,19,false,Jul 31-Aug 6,1992-07-31
1992,32,106815113,Unforgiven,24,false,Aug 7-13,1992-08-07
1992,33,92941501,Unforgiven,21,false,Aug 14-20,1992-08-14
1992,34,76041109,Unforgiven,25,false,Aug 21-27,1992-08-21
1992,35,63274466,Honeymoon in Vegas,20,false,Aug 28-Sep 3,1992-08-28
1992,36,52137564,Honeymoon in Vegas,21,false,Sep 4-10,1992-09-04
1992,37,57368755,Sneakers,31,false,Sep 11-17,1992-09-11
1992,38,59958937,Sneakers,29,false,Sep 18-24,1992-09-18
1992,39,80778107,The Last of the Mohicans,26,false,Sep 25-Oct 1,1992-09-25
1992,40,72824721,The Last of the Mohicans,23,false,Oct 2-8,1992-10-02
1992,41,72535207,Under Siege,23,false,Oct 9-15,1992-10-09
