year,week,gross,top_release,releases,long_weekend
1983,3,39661321,Tootsie,14,false
1983,4,46474626,The House on Sorority Row,14,false
1983,5,35156749,Tootsie,14,false
1983,6,32219148,Tootsie,15,false
1983,7,45203976,Tootsie,18,false
1983,8,45564019,An Officer and a Gentleman,16,false
1983,9,33669780,Tootsie,19,false
1983,10,32366933,They Call Me Bruce,17,false
1983,11,30874699,High Road to China,15,false
1983,12,58574085,Spring Break,20,false
1983,13,47587870,Spring Break,19,false
1983,14,47599709,Indiana Jones and the Raiders of the Lost Ark1983 Re-release,20,false
1983,15,43439422,Lone Wolf McQuade,18,false
1983,16,36772489,Flashdance,17,false
1983,17,43146825,48 Hrs.,18,false
1983,18,43589583,Tender Mercies,20,false
1983,19,42009864,Blue Thunder,16,false
1983,20,56530818,Star Wars: Episode VI - Return of the Jedi,18,false
1983,21,84419294,Star Wars: Episode VI - Return of the Jedi,16,false
1983,22,78266119,Star Wars: Episode VI - Return of the Jedi,15,false
1983,23,82661274,Star Wars: Episode VI - Return of the Jedi,14,false
1983,24,88142110,Superman III,14,false
1983,25,95154603,Star Wars: Episode VI - Return of the Jedi,17,false
1983,26,83048613,Star Wars: Episode VI - Return of the Jedi,18,false
1983,27,60063083,Star Wars: Episode VI - Return of the Jedi,14,false
1983,28,82680128,Staying Alive,16,false
1983,29,93787752,Jaws 3-D,16,false
1983,30,89323639,National Lampoon's Vacation,16,false
1983,31,67041316,National Lampoon's Vacation,15,false
1983,32,72511101,National Lampoon's Vacation,18,false
1983,33,81059273,Easy Money,21,false
1983,34,54655435,Mr. Mom,16,false
1983,35,53400646,Mr. Mom,16,false
1983,36,29268879,Mr. Mom,13,false
1983,37,34347212,Zelig,15,false
1983,38,25444497,Mr. Mom,17,false
1983,39,40936906,WarGames,17,false
1983,40,40747438,Never Say Never Again,16,false
1983,41,31462698,Never Say Never Again,16,false
1983,42,42502537,Never Say Never Again,19,false
1983,43,36865677,Deathstalker,13,false
1983,44,37996864,Never Say Never Again,15,false
1983,45,28609689,The Big Chill,14,false
1983,46,36748152,The Big Chill,18,false
1983,47,32311563,Terms of Endearment,16,false
1983,48,19384060,Terms of Endearment,14,false
1983,49,39534849,Sudden Impact,14,false
1983,50,62189235,Sudden Impact,18,false
1983,51,67985622,Sudden Impact,15,false
1983,52,68612256,Terms of Endearment,15,false
1984,1,50047120,Terms of Endearment,15,false
1984,2,47811293,Terms of Endearment,17,false
1984,3,42780405,The Rescuers1983 Re-release,18,false
1984,4,37552640,Silkwood,19,false
1984,5,33292145,Terms of Endearment,16,false
1984,6,28737250,Unfaithfully Yours,17,false
1984,7,57118693,Footloose,18,false
1984,8,35762525,Footloose,13,false
1984,9,43689987,Footloose,18,false
1984,10,48279901,Splash,20,false
1984,11,46313624,Splash,17,false
1984,12,52614508,Police Academy,16,false
1984,13,55798423,Police Academy,18,false
1984,14,59234284,Police Academy,16,false
1984,15,73538493,Friday the 13th: The Final Chapter,16,false
1984,16,55919797,Police Academy,15,false
1984,17,42226280,Police Academy,16,false
1984,18,50293876,Breakin',17,false
1984,19,48859156,The Natural,15,false
1984,20,51975299,Indiana Jones and the Temple of Doom,16,false
1984,21,85059499,Indiana Jones and the Temple of Doom,16,false
1984,22,85565720,Star Trek III: The Search for Spock,18,false
1984,23,107916805,Ghostbusters,16,false
1984,24,89510881,Ghostbusters,14,false
1984,25,112136798,Ghostbusters,17,false
1984,26,108938213,Ghostbusters,14,false
1984,27,84156749,Ghostbusters,12,false
1984,28,82216298,Ghostbusters,14,false
1984,29,95347829,Ghostbusters,18,false
1984,30,87399336,Purple Rain,18,false
1984,31,71920445,Ghostbusters,18,false
1984,32,78220716,Red Dawn,20,false
1984,33,91177220,Tightrope,18,false
1984,34,59754495,Tightrope,15,false
